counterid,day_type,month,day_part,sfmta_count
40,weekday,May,mid,451.8
40,weekday,June,mid,377.3
40,weekday,July,mid,360.3
40,weekday,August,mid,407.9
40,weekday,September,mid,389.7
40,weekday,October,mid,365.6
40,weekday,November,mid,355.7
40,weekday,December,mid,284.9
40,weekday,January,peak_pm,659
40,weekday,February,peak_pm,779.5
40,weekday,March,peak_pm,985
40,weekday,April,peak_pm,860
40,weekday,May,peak_pm,
40,weekday,June,peak_pm,963
40,weekday,July,peak_pm,785
40,weekday,August,peak_pm,918
40,weekday,September,peak_pm,897
40,weekday,October,peak_pm,896
40,weekday,November,peak_pm,865
40,weekday,December,peak_pm,777.5
40,weekend,January,late_pm,26.9
40,weekend,February,late_pm,28.9
40,weekend,March,late_pm,28.4
40,weekend,April,late_pm,42
40,weekend,May,late_pm,32.4
40,weekend,June,late_pm,36.6
40,weekend,July,late_pm,45.9
40,weekend,August,late_pm,35.6
40,weekend,September,late_pm,38.4
40,weekend,October,late_pm,41
40,weekend,November,late_pm,34
40,weekend,December,late_pm,31.7
40,weekend,January,early_am,6.75
40,weekend,February,early_am,8.33333333333333
40,weekend,March,early_am,6.16666666666667
40,weekend,April,early_am,10.1666666666667
40,weekend,May,early_am,9.25
40,weekend,June,early_am,10.3333333333333
40,weekend,July,early_am,12.25
40,weekend,August,early_am,10.6666666666667
40,weekend,September,early_am,11.1666666666667
40,weekend,October,early_am,14.75
40,weekend,November,early_am,11
40,weekend,December,early_am,10.3333333333333
40,weekend,January,peak_am,35.25
40,weekend,February,peak_am,48.125
40,weekend,March,peak_am,46
40,weekend,April,peak_am,61.5
40,weekend,May,peak_am,58
40,weekend,June,peak_am,56.125
40,weekend,July,peak_am,69.875
40,weekend,August,peak_am,53.25
40,weekend,September,peak_am,59.375
40,weekend,October,peak_am,71.375
40,weekend,November,peak_am,48.125
40,weekend,December,peak_am,49.625
40,weekend,January,mid,86.3
40,weekend,February,mid,108
40,weekend,March,mid,95.4
40,weekend,April,mid,132.2
40,weekend,May,mid,112.8
40,weekend,June,mid,113.8
40,weekend,July,mid,149.4
40,weekend,August,mid,119.5
40,weekend,September,mid,131.9
40,weekend,October,mid,140.2
40,weekend,November,mid,98.7
40,weekend,December,mid,98.9
40,weekend,January,peak_pm,68.5
40,weekend,February,peak_pm,92.75
40,weekend,March,peak_pm,77.625
40,weekend,April,peak_pm,112.625
40,weekend,May,peak_pm,105.25
40,weekend,June,peak_pm,108.625
40,weekend,July,peak_pm,137
40,weekend,August,peak_pm,103.625
40,weekend,September,peak_pm,111.25
40,weekend,October,peak_pm,119.625
40,weekend,November,peak_pm,86.875
40,weekend,December,peak_pm,83.125
46,weekday,January,late_pm,140.7
46,weekday,February,late_pm,142.6
46,weekday,March,late_pm,157
46,weekday,April,late_pm,121
46,weekday,May,late_pm,88.9
46,weekday,June,late_pm,99.5
46,weekday,July,late_pm,72
46,weekday,August,late_pm,78.2
46,weekday,September,late_pm,84.1
46,weekday,October,late_pm,70.5
46,weekday,November,late_pm,65.5
46,weekday,December,late_pm,70.2
46,weekday,January,early_am,113.666666666667
46,weekday,February,early_am,104.583333333333
46,weekday,March,early_am,126.666666666667
46,weekday,April,early_am,92.4166666666667
